,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,11:52,Jets,Laveranues Coles 34 yard pass from Vinny Testaverde (John Hall kick),0,7
1,1.0,4:53,Jets,John Hall 19 yard field goal,0,10
2,2.0,2:47,Jets,John Hall 40 yard field goal,0,13
3,3.0,10:19,Patriots,Antowain Smith 4 yard rush (Adam Vinatieri kick),7,13
4,3.0,6:57,Jets,John Hall 50 yard field goal,7,16
5,3.0,2:11,Patriots,Marc Edwards 4 yard rush (Adam Vinatieri kick),14,16
6,4.0,6:29,Patriots,Adam Vinatieri 28 yard field goal,17,16
