,Quarter,Tm,Detail,DEN,DET
0,1.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),7,0
1,1.0,Broncos,Rulon Jones 5 yard defensive fumble return (Rich Karlis kick),14,0
2,2.0,Lions,Gary Danielson 2 yard rush (Eddie Murray kick),14,7
3,2.0,Broncos,Steve Watson 42 yard pass from John Elway (Rich Karlis kick),21,7
4,4.0,Broncos,Ken Woodard 27 yard interception return (Rich Karlis kick),28,7
