,Quarter,Tm,Detail,HOU,NYJ
0,1,Jets,Ken Schroy 82 yard interception return (Pat Leahy kick),0,7
1,1,Jets,Richard Todd 1 yard rush (Pat Leahy kick),0,14
2,2,Jets,Kevin Long 1 yard rush (Pat Leahy kick),0,21
3,4,Oilers,Mike Barber 5 yard pass from Ken Stabler (Ted Thompson kick),7,21
4,4,Oilers,Billy Johnson 6 yard pass from Ken Stabler (Ted Thompson kick),14,21
5,4,Oilers,Rich Caster 68 yard pass from Ken Stabler (Ted Thompson kick),21,21
6,4,Jets,Bruce Harper 45 yard pass from Richard Todd (Pat Leahy kick),21,28
7,4,Oilers,Rich Caster 5 yard pass from Ken Stabler (Ted Thompson kick),28,28
8,OT,Jets,Pat Leahy 38 yard field goal,28,31
