,Quarter,Tm,Detail,SFO,CIN
0,1.0,49ers,Joe Montana 1 yard rush (Ray Wersching kick),7,0
1,2.0,49ers,Earl Cooper 11 yard pass from Joe Montana (Ray Wersching kick),14,0
2,2.0,49ers,Ray Wersching 22 yard field goal,17,0
3,2.0,49ers,Ray Wersching 26 yard field goal,20,0
4,3.0,Bengals,Ken Anderson 5 yard rush (Jim Breech kick),20,7
5,4.0,Bengals,Dan Ross 4 yard pass from Ken Anderson (Jim Breech kick),20,14
6,4.0,49ers,Ray Wersching 40 yard field goal,23,14
7,4.0,49ers,Ray Wersching 23 yard field goal,26,14
8,4.0,Bengals,Dan Ross 3 yard pass from Ken Anderson (Jim Breech kick),26,21
