,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Patriots,Tony Collins 6 yard pass from Tony Eason (Tony Franklin kick),7,0
1,2.0,Jets,Pat Leahy 33 yard field goal,7,3
2,2.0,Jets,Pat Leahy 47 yard field goal,7,6
3,3.0,Patriots,Tony Collins 10 yard pass from Craig James (Tony Franklin kick),14,6
4,3.0,Patriots,Tony Franklin 45 yard field goal,17,6
5,4.0,Patriots,Tony Franklin 42 yard field goal,20,6
