,Quarter,Time,Tm,Detail,DET,PIT
0,1.0,6:20,Steelers,Antonio Brown 34 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,7
1,1.0,3:58,Steelers,Antonio Brown 47 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,14
2,2.0,14:05,Lions,David Akers 35 yard field goal,3,14
3,2.0,10:31,Steelers,Shaun Suisham 25 yard field goal,3,17
4,2.0,10:13,Lions,Calvin Johnson 79 yard pass from Matthew Stafford (David Akers kick),10,17
5,2.0,7:19,Steelers,Shaun Suisham 34 yard field goal,10,20
6,2.0,3:52,Lions,Calvin Johnson 19 yard pass from Matthew Stafford (David Akers kick),17,20
7,2.0,1:42,Lions,Joique Bell 2 yard rush (David Akers kick),24,20
8,2.0,0:04,Lions,David Akers 19 yard field goal,27,20
9,3.0,5:14,Steelers,Shaun Suisham 21 yard field goal,27,23
10,4.0,4:46,Steelers,Will Johnson 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),27,30
11,4.0,2:29,Steelers,Jerricho Cotchery 20 yard pass from Ben Roethlisberger (Shaun Suisham kick),27,37
