,Quarter,Tm,Detail,NYG,BKN
0,1,Giants,Ray Flaherty 63 yard pass from Benny Friedman (Hap Moran kick),7,0
1,2,Giants,Hap Moran 13 yard pass from Benny Friedman,13,0
2,3,Dodgers,Jack McBride 65 yard rush,13,6
3,4,Giants,Dutch Kitzmiller 2 yard rush,19,6
