,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,Tom Tracy 37 yard field goal,0,3
1,1.0,Steelers,Tom Tracy 31 yard field goal,0,6
2,2.0,Steelers,Tom Tracy 28 yard rush (Bobby Layne kick),0,13
3,3.0,Redskins,Dick James 49 yard pass from Ralph Guglielmi (Bob Khayat kick),7,13
4,3.0,Steelers,Bobby Layne 21 yard field goal,7,16
5,4.0,Redskins,Bob Khayat 9 yard field goal,10,16
6,4.0,Steelers,Tom Tracy 36 yard field goal,10,19
7,4.0,Steelers,Bobby Layne 11 yard field goal,10,22
