,Quarter,Time,Tm,Detail,TEN,SEA
0,1.0,7:56,Titans,Chris Johnson 6 yard rush (Rob Bironas kick),7,0
1,2.0,9:41,Seahawks,John Carlson 6 yard pass from Matt Hasselbeck (Olindo Mare kick),7,7
2,3.0,11:29,Seahawks,Olindo Mare 35 yard field goal,7,10
3,3.0,4:40,Titans,Rob Bironas 47 yard field goal,10,10
4,4.0,12:29,Seahawks,Olindo Mare 20 yard field goal,10,13
5,4.0,4:33,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),17,13
