,Quarter,Tm,Detail,NYG,NYY
0,1,Giants,Bruce Caldwell 2 yard rush (Jack McBride kick),7,0
1,3,Giants,Bruce Caldwell 32 yard field goal,10,0
2,4,Yankees,Gibby Welch unknown yard pass from Wild Bill Kelly (Frank Grube kick),10,7
