,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Bills,Mike Collier 1 yard rush (Nick Mike-Mayer kick),7,0
1,2.0,Jets,Kevin Long 1 yard rush,7,6
2,4.0,Bills,Curtis Brown 30 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,6
3,4.0,Jets,Bobby Jones 11 yard pass from Richard Todd,14,12
