,Quarter,Tm,Detail,BAL,RAM
0,1.0,Rams,Tank Younger 1 yard rush (Les Richter kick),0,7
1,2.0,Rams,Les Richter 10 yard field goal,0,10
2,3.0,Rams,Les Richter 20 yard field goal,0,13
3,4.0,Colts,Alan Ameche 4 yard rush (Bert Rechichar kick),7,13
4,4.0,Rams,Tank Younger 11 yard rush (Les Richter kick),7,20
5,4.0,Colts,George Shaw 8 yard rush (Bert Rechichar kick),14,20
