,Quarter,Time,Tm,Detail,NYJ,STL
0,1.0,,Jets,John Hall 54 yard field goal,3,0
1,1.0,,Rams,Derrick Harris 7 yard pass from Tony Banks (Jeff Wilkins kick),3,7
2,2.0,,Rams,Jeff Wilkins 52 yard field goal,3,10
3,2.0,0:37,Rams,Amp Lee 1 yard rush (Jeff Wilkins kick),3,17
4,3.0,0:37,Rams,Jeff Wilkins 30 yard field goal,3,20
5,3.0,0:37,Rams,Jeff Wilkins 34 yard field goal,3,23
6,4.0,0:37,Rams,Amp Lee 3 yard rush (Jeff Wilkins kick),3,30
7,4.0,0:37,Jets,Leon Johnson 17 yard pass from Vinny Testaverde (John Hall kick),10,30
