,Quarter,Tm,Detail,DET,BOS
0,2.0,Yanks/Tigers,Augie Lio 26 yard field goal,0,3
1,3.0,Lions,Robert Nelson 26 yard field goal,3,3
2,4.0,Lions,Chuck DeShane 81 yard punt return (Bill Callihan kick),10,3
3,4.0,Yanks/Tigers,Don Currivan 6 yard pass from Bob Davis,10,9
