,Quarter,Time,Tm,Detail,STL,CAR
0,1.0,10:12,Rams,Roland Williams 14 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,1.0,5:41,Rams,Az-Zahir Hakim 48 yard pass from Kurt Warner (Jeff Wilkins kick),14,0
2,2.0,4:27,Rams,Az-Zahir Hakim 49 yard pass from Kurt Warner (Jeff Wilkins kick),21,0
3,2.0,0:41,Panthers,Wesley Walls 15 yard pass from Steve Beuerlein (John Kasay kick),21,7
4,3.0,5:13,Panthers,Donald Hayes 36 yard pass from Steve Beuerlein (John Kasay kick),21,14
5,4.0,14:50,Rams,Jeff Wilkins 44 yard field goal,24,14
6,4.0,14:31,Panthers,Patrick Jeffers 71 yard pass from Steve Beuerlein (John Kasay kick),24,21
7,4.0,9:48,Rams,Dre' Bly 53 yard interception return (Jeff Wilkins kick),31,21
8,4.0,3:39,Rams,Jeff Wilkins 29 yard field goal,34,21
