,Quarter,Tm,Detail,PIT,NYG
0,2,Giants,Dale Burnett 5 yard pass from Ed Danowski (Tillie Manton kick),0,7
1,3,Giants,Ward Cuff 35 yard field goal,0,10
2,4,Giants,Hank Soar 25 yard interception return (Tillie Manton kick),0,17
