,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Freeman McNeil 28 yard pass from Ken O'Brien (Pat Leahy kick),7,0
1,2.0,Dolphins,Mark Clayton 5 yard pass from Dan Marino (Uwe von Schamann kick),7,7
2,2.0,Jets,Pat Leahy 30 yard field goal,10,7
3,2.0,Dolphins,Bruce Hardy 1 yard pass from Dan Marino (Uwe von Schamann kick),10,14
4,3.0,Dolphins,Dan Johnson 7 yard pass from Dan Marino (Uwe von Schamann kick),10,21
5,3.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),17,21
6,3.0,Dolphins,Bruce Hardy 12 yard pass from Dan Marino (Uwe von Schamann kick),17,28
