,Quarter,Tm,Detail,CIN,KAN
0,1.0,Bengals,Horst Muhlmann 46 yard field goal,3,0
1,2.0,Chiefs,Jan Stenerud 39 yard field goal,3,3
2,3.0,Chiefs,Otis Taylor 14 yard pass from Len Dawson (Jan Stenerud kick),3,10
3,3.0,Bengals,Essex Johnson 65 yard pass from Ken Anderson (Horst Muhlmann kick),10,10
4,3.0,Chiefs,Jan Stenerud 32 yard field goal,10,13
5,4.0,Bengals,Speedy Thomas 7 yard pass from Ken Anderson (Horst Muhlmann kick),17,13
6,4.0,Bengals,Horst Muhlmann 12 yard field goal,20,13
7,4.0,Bengals,Horst Muhlmann 16 yard field goal,23,13
8,4.0,Chiefs,Jan Stenerud 43 yard field goal,23,16
