,Quarter,Tm,Detail,BAL,WAS
0,1.0,Colts,Raymond Berry 67 yard pass from Johnny Unitas (Bert Rechichar kick),7,0
1,2.0,Colts,Raymond Berry 11 yard pass from Johnny Unitas (Bert Rechichar kick),14,0
2,2.0,Redskins,Jim Podoley 3 yard rush (Sam Baker kick),14,7
3,3.0,Redskins,Don Bosseler 1 yard rush (Sam Baker kick),14,14
4,4.0,Redskins,Sam Baker 37 yard field goal,14,17
5,4.0,Colts,Johnny Unitas 3 yard rush (Bert Rechichar kick),21,17
