,Quarter,Time,Tm,Detail,NOR,JAX
0,1.0,13:09,Jaguars,Reggie Barlow 74 yard punt return (Mike Hollis kick),0,7
1,1.0,5:28,Saints,Billy Joe Tolliver 1 yard rush (Doug Brien kick),7,7
2,1.0,1:30,Jaguars,Damon Jones 8 yard pass from Mark Brunell (Mike Hollis kick),7,14
3,2.0,13:05,Saints,Ricky Williams 19 yard rush (Doug Brien kick),14,14
4,2.0,1:48,Saints,Doug Brien 52 yard field goal,17,14
5,2.0,0:00,Jaguars,Mike Hollis 45 yard field goal,17,17
6,3.0,12:26,Jaguars,James Stewart 4 yard rush (Mike Hollis kick),17,24
7,3.0,9:30,Jaguars,Jimmy Smith 46 yard pass from Mark Brunell (Mike Hollis kick),17,31
8,4.0,10:28,Jaguars,Mike Hollis 32 yard field goal,17,34
9,4.0,7:30,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),17,41
10,4.0,4:23,Saints,Ricky Williams 1 yard rush (pass failed),23,41
