,Quarter,Tm,Detail,NYY,CLE
0,2.0,Bulldogs,Ossie Wiberg unknown yard pass from Benny Friedman,0,6
1,2.0,Bulldogs,"Safety,",0,8
2,4.0,Bulldogs,Ossie Wiberg unknown yard pass from Benny Friedman (Ossie Wiberg kick),0,15
