,Quarter,Tm,Detail,DAY,CHI
0,3.0,Triangles,Bill Belanich 40 yard fumble return,6,0
1,4.0,Bears,Buck White 1 yard rush (Paddy Driscoll kick),6,7
2,4.0,Bears,Paddy Driscoll 12 yard rush (Paddy Driscoll kick),6,14
