,Quarter,Time,Tm,Detail,CAR,SFO
0,2.0,14:17,49ers,Jeff Garcia 1 yard rush (Jose Cortez kick),0,7
1,2.0,1:07,Panthers,Wesley Walls 10 yard pass from Chris Weinke (John Kasay kick),7,7
2,2.0,0:00,49ers,Jose Cortez 40 yard field goal,7,10
3,3.0,13:54,Panthers,Doug Evans 39 yard interception return (John Kasay kick),14,10
4,3.0,9:11,49ers,Terrell Owens 29 yard pass from Jeff Garcia (Jose Cortez kick),14,17
5,3.0,2:36,49ers,Terrell Owens 20 yard pass from Jeff Garcia (Jose Cortez kick),14,24
