,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Cary Blanchard 37 yard field goal,0,3
1,2.0,Jets,Brad Baxter 2 yard rush (Cary Blanchard kick),0,10
2,2.0,Jets,Terance Mathis 7 yard pass from Browning Nagle (Cary Blanchard kick),0,17
3,3.0,Patriots,Irving Fryar 20 yard pass from Hugh Millen (Charlie Baumann kick),7,17
4,4.0,Jets,Cary Blanchard 40 yard field goal,7,20
5,4.0,Jets,Cary Blanchard 47 yard field goal,7,23
6,4.0,Patriots,Irving Fryar 38 yard pass from Hugh Millen (Charlie Baumann kick),14,23
7,4.0,Jets,Rob Moore 19 yard pass from Browning Nagle (Cary Blanchard kick),14,30
8,4.0,Patriots,Marv Cook 5 yard pass from Hugh Millen (Charlie Baumann kick),21,30
