,Quarter,Tm,Detail,STL,PIT
0,1.0,Cardinals,Bill Triplett 63 yard rush (Jim Bakken kick),7,0
1,1.0,Steelers,Lou Michaels 21 yard field goal,7,3
2,2.0,Steelers,Lou Michaels 40 yard field goal,7,6
3,3.0,Cardinals,Jim Bakken 28 yard field goal,10,6
4,4.0,Steelers,Dick Hoak 1 yard rush (Lou Michaels kick),10,13
5,4.0,Steelers,Lou Michaels 21 yard field goal,10,16
6,4.0,Steelers,Bob Ferguson 4 yard rush (Lou Michaels kick),10,23
