,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Gary Anderson 7 yard pass from Dan Fouts (Rolf Benirschke kick),0,7
1,1.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),7,7
2,2.0,Broncos,Rich Karlis 21 yard field goal,10,7
3,3.0,Broncos,Gerald Willhite 3 yard pass from John Elway (Rich Karlis kick),17,7
4,4.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),24,7
5,4.0,Broncos,Mike Harden 41 yard punt return (Rich Karlis kick),31,7
6,4.0,Chargers,Buford McGee 4 yard rush (Rolf Benirschke kick),31,14
