,Quarter,Tm,Detail,OAK,MIN
0,2.0,Raiders,Errol Mann 24 yard field goal,3,0
1,2.0,Raiders,Dave Casper 1 yard pass from Ken Stabler (Errol Mann kick),10,0
2,2.0,Raiders,Pete Banaszak 1 yard rush,16,0
3,3.0,Raiders,Errol Mann 40 yard field goal,19,0
4,3.0,Vikings,Sammy White 8 yard pass from Fran Tarkenton (Fred Cox kick),19,7
5,4.0,Raiders,Pete Banaszak 2 yard rush (Errol Mann kick),26,7
6,4.0,Raiders,Willie Brown 75 yard interception return,32,7
7,4.0,Vikings,Stu Voigt 13 yard pass from Bob Lee (Fred Cox kick),32,14
