,Quarter,Tm,Detail,SEA,NYJ
0,2.0,Jets,Jo-Jo Townsell 91 yard punt return (Pat Leahy kick),0,7
1,2.0,Jets,Pat Leahy 35 yard field goal,0,10
2,3.0,Jets,Pat Leahy 36 yard field goal,0,13
3,3.0,Seahawks,Curt Warner 3 yard rush (Norm Johnson kick),7,13
4,3.0,Seahawks,Steve Largent 29 yard pass from Dave Krieg (Norm Johnson kick),14,13
5,3.0,Jets,Billy Griggs 4 yard pass from Ken O'Brien (Pat Leahy kick),14,20
6,4.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),14,27
7,4.0,Jets,Pat Leahy 26 yard field goal,14,30
