,Quarter,Time,Tm,Detail,TAM,CHI
0,2.0,2:16,Buccaneers,Martin Gramatica 25 yard field goal,3,0
1,2.0,0:16,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),10,0
2,3.0,6:46,Bears,Jaret Holmes 39 yard field goal,10,3
3,3.0,2:15,Buccaneers,Martin Gramatica 33 yard field goal,13,3
4,4.0,13:24,Bears,Jaret Holmes 31 yard field goal,13,6
5,4.0,7:33,Buccaneers,Dave Moore 6 yard pass from Shaun King (Martin Gramatica kick),20,6
