,Quarter,Tm,Detail,NWE,MIA
0,2.0,Patriots,John Smith 23 yard field goal,3,0
1,2.0,Dolphins,Bruce Hardy 2 yard pass from David Woodley (Uwe von Schamann kick),3,7
2,2.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),3,14
3,3.0,Patriots,John Smith 42 yard field goal,6,14
4,3.0,Dolphins,Woody Bennett 2 yard rush (Uwe von Schamann kick),6,21
5,4.0,Dolphins,Bruce Hardy 2 yard pass from David Woodley (Uwe von Schamann kick),6,28
6,4.0,Patriots,Don Hasselbeck 22 yard pass from Steve Grogan (John Smith kick),13,28
