,Quarter,Time,Tm,Detail,MIA,HOU
0,1.0,,Oilers,Derek Russell 18 yard pass from Chris Chandler (Al Del Greco kick),0,7
1,1.0,,Oilers,Frank Wycheck 15 yard pass from Chris Chandler (Al Del Greco kick),0,14
2,2.0,,Dolphins,Irving Spikes 10 yard pass from Dan Marino (Joe Nedney kick),7,14
3,2.0,,Dolphins,Joe Nedney 34 yard field goal,10,14
4,3.0,,Dolphins,Joe Nedney 44 yard field goal,13,14
5,3.0,,Oilers,Al Del Greco 30 yard field goal,13,17
6,4.0,10:50,Dolphins,Zach Thomas 26 yard interception return (Joe Nedney kick),20,17
7,4.0,10:50,Oilers,Al Del Greco 33 yard field goal,20,20
8,4.0,10:50,Dolphins,Joe Nedney 29 yard field goal,23,20
