,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Walter Payton 3 yard rush (Kevin Butler kick),7,0
1,1.0,Bears,Kevin Butler 34 yard field goal,10,0
2,1.0,Bears,Kevin Butler 38 yard field goal,13,0
3,2.0,Bears,Kevin Butler 27 yard field goal,16,0
4,2.0,49ers,Carlton Williamson 43 yard interception return (Ray Wersching kick),16,7
5,2.0,49ers,Ray Wersching 32 yard field goal,16,10
6,4.0,Bears,Kevin Butler 29 yard field goal,19,10
7,4.0,Bears,Walter Payton 17 yard rush (Kevin Butler kick),26,10
