,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,1:02,Jets,John Hall 39 yard field goal,3,0
1,2.0,1:08,Dolphins,Olindo Mare 47 yard field goal,3,3
2,2.0,0:00,Jets,John Hall 33 yard field goal,6,3
3,4.0,6:52,Jets,Bernie Parmalee 18 yard rush (John Hall kick),13,3
4,4.0,3:12,Jets,Bernie Parmalee 7 yard rush (John Hall kick),20,3
