,Quarter,Tm,Detail,PIT,NYJ
0,2.0,Steelers,Roy Gerela 26 yard field goal,3,0
1,2.0,Steelers,Franco Harris 44 yard pass from Terry Bradshaw (Roy Gerela kick),10,0
2,3.0,Steelers,Frank Lewis 8 yard pass from Terry Bradshaw (Roy Gerela kick),17,0
3,3.0,Steelers,Roy Gerela 19 yard field goal,20,0
4,4.0,Jets,Jerome Barkum 6 yard pass from Joe Namath (Pat Leahy kick),20,7
