,Quarter,Time,Tm,Detail,CAR,MIN
0,2.0,,Vikings,Cris Carter 6 yard pass from Brad Johnson (Eddie Murray kick),0,7
1,2.0,,Panthers,Wesley Walls 16 yard pass from Steve Beuerlein (John Kasay kick),7,7
2,4.0,,Vikings,Brad Johnson 3 yard pass from Brad Johnson (Eddie Murray kick),7,14
3,4.0,,Panthers,Rae Carruth 5 yard pass from Steve Beuerlein (John Kasay kick),14,14
4,4.0,,Vikings,Robert Smith 4 yard rush (Eddie Murray kick),14,21
