,Quarter,Time,Tm,Detail,PIT,NWE
0,2,,Patriots,Ben Coates 18 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,2,,Patriots,Sam Gash 1 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,14
2,2,,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),7,14
3,3,,Steelers,Norm Johnson 36 yard field goal,10,14
4,4,,Steelers,Norm Johnson 34 yard field goal,13,14
5,4,,Patriots,Dave Meggett 49 yard pass from Drew Bledsoe (Adam Vinatieri kick),13,21
6,4,,Steelers,Mark Bruener 1 yard pass from Kordell Stewart (Yancey Thigpen pass from Kordell Stewart),21,21
7,OT,,Steelers,Norm Johnson 31 yard field goal,24,21
