,Quarter,Time,Tm,Detail,ATL,SEA
0,1.0,,Falcons,Jamal Anderson 1 yard rush (Morten Andersen kick),7,0
1,2.0,,Falcons,Jamal Anderson 13 yard pass from Chris Chandler (Morten Andersen kick),14,0
2,2.0,,Falcons,Morten Andersen 18 yard field goal,17,0
3,2.0,,Seahawks,Joey Galloway 16 yard pass from Warren Moon (Todd Peterson kick),17,7
4,3.0,,Seahawks,Steve Broussard 20 yard pass from Warren Moon (Todd Peterson kick),17,14
5,3.0,11:55,Falcons,Byron Hanspard 93 yard kickoff return (Morten Andersen kick),24,14
6,4.0,11:55,Seahawks,Todd Peterson 35 yard field goal,24,17
