,Quarter,Time,Tm,Detail,CIN,CLE
0,1.0,11:26,Browns,Phil Dawson 23 yard field goal,0,3
1,2.0,13:18,Browns,Phil Dawson 27 yard field goal,0,6
2,2.0,0:26,Browns,Kevin Johnson 6 yard pass from Tim Couch (Phil Dawson kick failed),0,12
3,4.0,2:55,Browns,Phil Dawson 23 yard field goal,0,15
4,4.0,1:13,Browns,Phil Dawson 33 yard field goal,0,18
