,Quarter,Tm,Detail,DAL,PIT
0,1.0,Cowboys,Timmy Newsome 3 yard rush (Luis Zendejas kick),7,0
1,1.0,Steelers,Earnest Jackson 15 yard rush (Gary Anderson kick),7,7
2,1.0,Steelers,Gary Anderson 32 yard field goal,7,10
3,3.0,Steelers,Bubby Brister 1 yard rush (Gary Anderson kick),7,17
4,3.0,Cowboys,Michael Irvin 35 yard pass from Steve Pelluer (Luis Zendejas kick),14,17
5,4.0,Steelers,Earnest Jackson 29 yard rush (Gary Anderson kick),14,24
6,4.0,Cowboys,Ray Alexander 8 yard pass from Steve Pelluer (Luis Zendejas kick),21,24
