,Quarter,Time,Tm,Detail,MIN,BUF
0,1.0,8:40,Vikings,Ryan Longwell 37 yard field goal,3,0
1,2.0,13:08,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),3,7
2,2.0,0:00,Vikings,Ryan Longwell 49 yard field goal,6,7
3,3.0,9:12,Bills,Peerless Price 8 yard pass from J.P. Losman (Rian Lindell kick),6,14
4,4.0,14:05,Bills,Rian Lindell 28 yard field goal,6,17
5,4.0,3:07,Vikings,Marcus Robinson 29 yard pass from Brad Johnson (pass failed),12,17
