,Quarter,Time,Tm,Detail,GNB,ARI
0,2.0,14:07,Cardinals,Larry Fitzgerald 3 yard pass from Carson Palmer (Chandler Catanzaro kick),0,7
1,2.0,5:48,Cardinals,Chandler Catanzaro 19 yard field goal,0,10
2,2.0,0:06,Cardinals,John Brown 7 yard pass from Carson Palmer (Chandler Catanzaro kick),0,17
3,3.0,14:02,Cardinals,David Johnson 14 yard rush (Chandler Catanzaro kick),0,24
4,3.0,9:34,Cardinals,Cory Redding 36 yard defensive fumble return (Chandler Catanzaro kick),0,31
5,3.0,6:31,Packers,Eddie Lacy 28 yard pass from Aaron Rodgers (James Jones pass from Aaron Rodgers ),8,31
6,3.0,3:05,Cardinals,Jerraud Powers 7 yard defensive fumble return (Chandler Catanzaro kick),8,38
