,Quarter,Time,Tm,Detail,GNB,PHI
0,1.0,4:23,Eagles,David Akers 45 yard field goal,0,3
1,2.0,13:52,Packers,Mason Crosby 49 yard field goal,3,3
2,2.0,1:48,Packers,Donald Driver 6 yard pass from Aaron Rodgers (Mason Crosby kick),10,3
3,2.0,0:00,Packers,Mason Crosby 56 yard field goal,13,3
4,3.0,8:36,Packers,John Kuhn 3 yard rush (Mason Crosby kick),20,3
5,3.0,4:24,Eagles,LeSean McCoy 12 yard rush (David Akers kick),20,10
6,3.0,1:56,Packers,Greg Jennings 32 yard pass from Aaron Rodgers (Mason Crosby kick),27,10
7,4.0,10:23,Eagles,Jeremy Maclin 17 yard pass from Michael Vick (David Akers kick),27,17
8,4.0,5:43,Eagles,David Akers 24 yard field goal,27,20
