,Quarter,Time,Tm,Detail,TAM,SFO
0,1.0,,49ers,Ricky Watters 13 yard rush (Doug Brien kick),0,7
1,2.0,,49ers,Doug Brien 23 yard field goal,0,10
2,2.0,,49ers,Ed McCaffrey 7 yard pass from Steve Young (Doug Brien kick),0,17
3,3.0,,49ers,William Floyd 1 yard rush (Doug Brien kick),0,24
4,3.0,,49ers,Doug Brien 35 yard field goal,0,27
5,3.0,,49ers,Ricky Watters 2 yard rush (Doug Brien kick),0,34
6,4.0,,Buccaneers,Errict Rhett 1 yard rush (Horace Copeland pass from Craig Erickson),8,34
7,4.0,,49ers,Marc Logan 1 yard pass from Elvis Grbac (Doug Brien kick),8,41
8,4.0,,Buccaneers,Lawrence Dawsey 34 yard pass from Craig Erickson (Jackie Harris pass from Craig Erickson),16,41
