,Quarter,Time,Tm,Detail,DEN,SEA
0,1.0,,Broncos,Rod Smith 50 yard pass from John Elway (Jason Elam kick),7,0
1,1.0,2:13,Broncos,Shannon Sharpe 29 yard pass from John Elway (Jason Elam kick),14,0
2,2.0,2:13,Seahawks,Darrin Smith 23 yard interception return (Todd Peterson kick),14,7
3,3.0,2:13,Seahawks,Todd Peterson 23 yard field goal,14,10
4,4.0,2:13,Broncos,Terrell Davis 2 yard rush (Jason Elam kick),21,10
5,4.0,2:13,Seahawks,Mike Pritchard 50 yard pass from John Friesz (run failed),21,16
