,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Bobby Mitchell 98 yard kickoff return (Lou Groza kick),0,7
1,1.0,Browns,Bobby Mitchell 68 yard punt return (Lou Groza kick),0,14
2,2.0,Eagles,Billy Ray Barnes 2 yard rush (Bobby Walston kick),7,14
3,2.0,Browns,Lew Carpenter 1 yard rush (Lou Groza kick),7,21
4,3.0,Eagles,Tommy McDonald 31 yard pass from Norm Van Brocklin (Bobby Walston kick),14,21
5,4.0,Browns,Ray Renfro 34 yard pass from Milt Plum (Lou Groza kick),14,28
