,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,4:02,Jets,Jermaine Kearse 16 yard pass from Josh McCown (Jason Myers kick),0,7
1,1.0,1:11,Patriots,Rob Gronkowski 34 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
2,2.0,2:27,Patriots,Stephen Gostkowski 34 yard field goal,10,7
3,2.0,0:03,Jets,Jason Myers 55 yard field goal,10,10
4,3.0,8:34,Patriots,Stephen Gostkowski 32 yard field goal,13,10
5,3.0,4:00,Jets,Jason Myers 38 yard field goal,13,13
6,3.0,1:52,Patriots,Julian Edelman 21 yard pass from Tom Brady (Stephen Gostkowski kick),20,13
7,4.0,8:54,Patriots,Sony Michel 1 yard rush (Stephen Gostkowski kick),27,13
