,Quarter,Tm,Detail,BUF,IND
0,1.0,Bills,Steve Christie 39 yard field goal,3,0
1,2.0,Bills,Thurman Thomas 3 yard rush (Steve Christie kick),10,0
2,2.0,Colts,Dean Biasucci 22 yard field goal,10,3
3,3.0,Bills,Steve Christie 49 yard field goal,13,3
4,3.0,Bills,Steve Christie 40 yard field goal,16,3
5,4.0,Bills,Pete Metzelaars 1 yard pass from Jim Kelly (Steve Christie kick),23,3
6,4.0,Bills,Bill Brooks 30 yard pass from Frank Reich (Steve Christie kick),30,3
7,4.0,Colts,Jessie Hester 10 yard pass from Jeff George (Dean Biasucci kick),30,10
