,Quarter,Tm,Detail,GNB,DET
0,1.0,Packers,Brent Fullwood 1 yard rush (Al Del Greco kick),7,0
1,1.0,Packers,Walter Stanley 70 yard pass from Don Majkowski (Al Del Greco kick),14,0
2,1.0,Packers,Kenneth Davis 39 yard rush (Al Del Greco kick),21,0
3,2.0,Packers,Al Del Greco 22 yard field goal,24,0
4,2.0,Lions,Carl Bland 11 yard pass from Chuck Long (Eddie Murray kick),24,7
5,2.0,Packers,Kenneth Davis 28 yard rush (Al Del Greco kick),31,7
6,2.0,Lions,Pete Mandley 12 yard pass from Chuck Long (Eddie Murray kick),31,14
7,2.0,Lions,"Safety, Jamison tackled Stanley in end zone",31,16
8,3.0,Lions,Eddie Murray 23 yard field goal,31,19
9,4.0,Lions,Pete Mandley 22 yard pass from Chuck Long (Eddie Murray kick),31,26
10,4.0,Lions,Garry James 2 yard rush (Eddie Murray kick),31,33
11,4.0,Packers,Al Del Greco 45 yard field goal,34,33
