,Quarter,Tm,Detail,RAM,CLE
0,1.0,Rams,Mike Lansford 30 yard field goal,3,0
1,1.0,Browns,Jerry Kauric 37 yard field goal,3,3
2,2.0,Rams,Pete Holohan 1 yard pass from Jim Everett (Mike Lansford kick),10,3
3,2.0,Rams,Gaston Green 16 yard pass from Jim Everett (Mike Lansford kick),17,3
4,3.0,Rams,Cleveland Gary 1 yard rush (Mike Lansford kick),24,3
5,3.0,Browns,Webster Slaughter 17 yard pass from Bernie Kosar (Jerry Kauric kick),24,10
6,3.0,Rams,Robert Delpino 21 yard pass from Jim Everett (Mike Lansford kick),31,10
7,3.0,Browns,Kevin Mack 3 yard pass from Bernie Kosar (Jerry Kauric kick),31,17
8,4.0,Rams,Buford McGee 9 yard pass from Jim Everett (Mike Lansford kick),38,17
9,4.0,Browns,Kevin Mack 1 yard rush,38,23
