,Quarter,Tm,Detail,DET,NOR
0,1.0,Saints,Wes Chandler 24 yard pass from Archie Manning (Garo Yepremian kick),0,7
1,2.0,Saints,Garo Yepremian 21 yard field goal,0,10
2,3.0,Saints,Tom Myers 52 yard interception return (Garo Yepremian kick),0,17
3,3.0,Lions,David Hill 5 yard pass from Jeff Komlo (Benny Ricardo kick),7,17
