,Quarter,Tm,Detail,RAI,HOU
0,1.0,Oilers,Allen Pinkett 8 yard rush,0,6
1,2.0,Oilers,Warren Moon 1 yard rush (Ian Howfield kick),0,13
2,2.0,Oilers,Ian Howfield 34 yard field goal,0,16
3,2.0,Raiders,Willie Gault 59 yard pass from Jay Schroeder (Jeff Jaeger kick),7,16
4,3.0,Oilers,Ernest Givins 22 yard pass from Warren Moon (Ian Howfield kick),7,23
5,3.0,Raiders,Jeff Jaeger 39 yard field goal,10,23
6,3.0,Oilers,Tony Jones 28 yard pass from Warren Moon (Ian Howfield kick),10,30
7,3.0,Oilers,Mike Dumas 19 yard special teams fumble return (Ian Howfield kick),10,37
8,4.0,Oilers,Ian Howfield 46 yard field goal,10,40
9,4.0,Raiders,Sam Graddy 80 yard pass from Vince Evans (Jeff Jaeger kick),17,40
10,4.0,Oilers,Gary Brown 39 yard rush (Ian Howfield kick),17,47
