,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Dick Bass 17 yard rush (Danny Villanueva kick),7,0
1,1.0,Bears,Billy Wade 1 yard rush,7,6
2,1.0,Bears,Mike Ditka 20 yard pass from Billy Wade (Roger LeClerc kick),7,13
3,2.0,Bears,Roger LeClerc 41 yard field goal,7,16
4,2.0,Bears,Rosey Taylor 11 yard blocked punt return (Roger LeClerc kick),7,23
5,4.0,Bears,Richie Petitbon 101 yard interception return (Roger LeClerc kick),7,30
6,4.0,Rams,Jack Pardee 32 yard special teams fumble return (Danny Villanueva kick),14,30
