,Quarter,Tm,Detail,RAM,DET
0,1.0,Rams,Tony Zendejas 27 yard field goal,3,0
1,2.0,Lions,Robert Clark 6 yard pass from Erik Kramer (Eddie Murray kick),3,7
2,3.0,Rams,Henry Ellard 19 yard pass from Jim Everett (Tony Zendejas kick),10,7
3,4.0,Lions,Robert Clark 11 yard pass from Erik Kramer (Eddie Murray kick),10,14
4,4.0,Lions,Mike Farr 34 yard pass from Erik Kramer (Eddie Murray kick),10,21
