,Quarter,Tm,Detail,DET,SFO
0,2.0,Lions,Leon Hart 3 yard rush (Bobby Layne kick),7,0
1,2.0,49ers,Joe Arenas 90 yard kickoff return (Gordie Soltau kick),7,7
2,2.0,49ers,Gordie Soltau 30 yard field goal,7,10
3,2.0,Lions,Bobby Layne 30 yard field goal,10,10
4,3.0,Lions,Leon Hart 1 yard rush (Bobby Layne kick),17,10
5,3.0,49ers,Gordie Soltau 40 yard field goal,17,13
