,Quarter,Time,Tm,Detail,HOU,MIA
0,1.0,11:47,Texans,Kris Brown 49 yard field goal,3,0
1,1.0,2:05,Texans,Andre Johnson 10 yard pass from Matt Schaub (Kris Brown kick),10,0
2,2.0,12:41,Texans,Jacoby Jones 44 yard pass from Matt Schaub (Kris Brown kick),17,0
3,2.0,11:44,Texans,Arian Foster 17 yard rush (Kris Brown kick),24,0
4,2.0,4:25,Texans,Kris Brown 22 yard field goal,27,0
5,2.0,0:07,Dolphins,Dan Carpenter 27 yard field goal,27,3
6,3.0,10:10,Dolphins,Lex Hilliard 2 yard rush (Dan Carpenter kick),27,10
7,4.0,9:25,Dolphins,Lex Hilliard 10 yard pass from Chad Henne (Dan Carpenter kick),27,17
8,4.0,2:30,Dolphins,Dan Carpenter 38 yard field goal,27,20
