,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Red Grange 38 yard rush,6,0
1,1.0,Bears,Red Grange 15 yard rush,12,0
2,3.0,Bears,Walt Holmer interception in end zone (Joey Sternaman kick),19,0
3,3.0,Cardinals,Ernie Nevers 1 yard rush,19,6
4,4.0,Bears,Walt Holmer 11 yard rush (Joey Sternaman kick),26,6
5,4.0,Bears,Walt Holmer 3 yard rush,32,6
