,Quarter,Tm,Detail,CRD,WAS
0,3.0,Redskins,Joe Aguirre 11 yard pass from Sammy Baugh (Bob Masterson kick),0,7
1,3.0,Redskins,Andy Farkas 1 yard rush,0,13
2,4.0,Cardinals,Ed Rucinski 17 yard pass from Walt Masters (Dixie Stokes kick),7,13
