,Quarter,Time,Tm,Detail,DET,HOU
0,1.0,,Lions,Herman Moore 13 yard pass from Scott Mitchell (Jason Hanson kick),7,0
1,2.0,6:11,Oilers,Haywood Jeffires 9 yard pass from Chris Chandler (Al Del Greco kick),7,7
2,2.0,6:11,Lions,Jason Hanson 36 yard field goal,10,7
3,2.0,1:26,Lions,Barry Sanders 9 yard rush (Jason Hanson kick),17,7
4,3.0,1:26,Oilers,Al Del Greco 47 yard field goal,17,10
5,4.0,1:26,Lions,Herman Moore 14 yard pass from Scott Mitchell (Jason Hanson kick),24,10
6,4.0,1:26,Oilers,Chris Sanders 39 yard pass from Steve McNair (Al Del Greco kick),24,17
