,Quarter,Time,Tm,Detail,PIT,TAM
0,1.0,12:10,Buccaneers,Connor Barth 40 yard field goal,0,3
1,1.0,7:53,Steelers,Mike Wallace 46 yard pass from Charlie Batch (Jeff Reed kick),7,3
2,2.0,14:08,Buccaneers,Connor Barth 24 yard field goal,7,6
3,2.0,10:19,Steelers,Rashard Mendenhall 3 yard rush (Jeff Reed kick),14,6
4,2.0,7:15,Steelers,Mike Wallace 41 yard pass from Charlie Batch (Jeff Reed kick),21,6
5,2.0,0:16,Steelers,Hines Ward 9 yard pass from Charlie Batch (Jeff Reed kick),28,6
6,3.0,2:23,Steelers,Jeff Reed 24 yard field goal,31,6
7,4.0,14:44,Steelers,Brett Keisel 79 yard interception return (Jeff Reed kick),38,6
8,4.0,1:54,Buccaneers,LeGarrette Blount 1 yard rush (Connor Barth kick),38,13
