,Quarter,Tm,Detail,OAK,KAN
0,1.0,Chiefs,Otis Taylor 29 yard pass from Len Dawson (Jan Stenerud kick),0,7
1,2.0,Chiefs,Jan Stenerud 33 yard field goal,0,10
2,2.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),7,10
3,2.0,Chiefs,Jan Stenerud 14 yard field goal,7,13
4,4.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),14,13
5,4.0,Chiefs,Jan Stenerud 10 yard field goal,14,16
