,Quarter,Time,Tm,Detail,BUF,CIN
0,1.0,8:07,Bengals,Chad Johnson 2 yard pass from Carson Palmer (Aaron Pettrey kick),0,7
1,1.0,2:04,Bills,Fred Jackson 7 yard rush (Rian Lindell kick),7,7
2,2.0,14:10,Bengals,Terrell Owens 4 yard pass from Carson Palmer (Aaron Pettrey kick),7,14
3,2.0,10:59,Bengals,Cedric Benson 1 yard rush (Aaron Pettrey kick),7,21
4,2.0,10:10,Bengals,Johnathan Joseph 21 yard interception return (Aaron Pettrey kick),7,28
5,2.0,1:17,Bills,Donald Jones 28 yard pass from Ryan Fitzpatrick (Rian Lindell kick),14,28
6,2.0,0:00,Bengals,Aaron Pettrey 19 yard field goal,14,31
7,3.0,10:43,Bills,Steve Johnson 28 yard pass from Ryan Fitzpatrick (Rian Lindell kick),21,31
8,3.0,9:54,Bills,Drayton Florence 27 yard defensive fumble return (Rian Lindell kick),28,31
9,4.0,14:13,Bills,Steve Johnson 11 yard pass from Ryan Fitzpatrick (Rian Lindell kick),35,31
10,4.0,11:36,Bills,Steve Johnson 32 yard pass from Ryan Fitzpatrick (Rian Lindell kick),42,31
11,4.0,1:52,Bills,Fred Jackson 30 yard rush (Rian Lindell kick),49,31
