,Quarter,Tm,Detail,HAM,DET
0,1.0,Panthers,Dutch Marion unknown yard rush (Gus Sonnenberg kick),0,7
1,2.0,Panthers,Al Hadden 30 yard pass from Dick Vick (Gus Sonnenberg kick),0,14
2,3.0,Panthers,Dinger Doane unknown yard rush,0,20
3,4.0,Pros,Ed Robinson unknown yard pass from Wally Hess,6,20
4,4.0,Panthers,Dinger Doane unknown yard rush,6,26
