,Quarter,Time,Tm,Detail,BUF,NWE
0,1.0,9:48,Bills,Rian Lindell 39 yard field goal,3,0
1,1.0,5:14,Patriots,Randy Moss 7 yard pass from Tom Brady (Stephen Gostkowski kick),3,7
2,2.0,10:46,Bills,Rian Lindell 39 yard field goal,6,7
3,2.0,6:13,Bills,C.J. Spiller 5 yard pass from Ryan Fitzpatrick (Rian Lindell kick),13,7
4,2.0,2:58,Patriots,Danny Woodhead 22 yard rush (Stephen Gostkowski kick),13,14
5,2.0,0:24,Bills,Rian Lindell 34 yard field goal,16,14
6,2.0,0:00,Patriots,Stephen Gostkowski 43 yard field goal,16,17
7,3.0,13:11,Patriots,Randy Moss 35 yard pass from Tom Brady (Stephen Gostkowski kick),16,24
8,3.0,12:58,Bills,C.J. Spiller 95 yard kickoff return (Rian Lindell kick),23,24
9,3.0,1:21,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),23,31
10,4.0,8:19,Patriots,BenJarvus Green-Ellis 7 yard rush (Stephen Gostkowski kick),23,38
11,4.0,4:08,Bills,Steve Johnson 37 yard pass from Ryan Fitzpatrick (Rian Lindell kick),30,38
