,Quarter,Tm,Detail,PIT,HOU
0,1.0,Oilers,Johnny Meads 15 yard defensive fumble return (Al Del Greco kick),0,7
1,1.0,Oilers,Ernest Givins 11 yard pass from Warren Moon (Al Del Greco kick),0,14
2,1.0,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),7,14
3,2.0,Steelers,Gary Anderson 30 yard field goal,10,14
4,2.0,Oilers,Al Del Greco 36 yard field goal,10,17
5,2.0,Steelers,Jeff Graham 26 yard pass from Neil O'Donnell,16,17
6,2.0,Oilers,Ernest Givins 8 yard pass from Warren Moon (Al Del Greco kick),16,24
7,3.0,Steelers,Gary Anderson 25 yard field goal,19,24
8,3.0,Steelers,Gary Anderson 37 yard field goal,22,24
9,4.0,Steelers,Adrian Cooper 9 yard pass from Neil O'Donnell (Gary Anderson kick),29,24
